PAIR of
Id1 Id2
44701 76281
44751 75221
44771 66048
44772 61792
44845 81107
44890 72776
45031 88113
45064 68377
45165 74626
45166 86585
45245 47801
45280 70198
45313 65542
45361 92616
45405 71646
45452 81205
45465 90260
45470 79833
45471 84357
45483 72945
45518 48102
45573 72000
45600 65063
45627 90998
45651 67514
45665 47759
45842 79426
45953 72385
46007 75173
46079 84866
46121 57082
46141 49284
46150 46911
46185 64382
46231 64513
46293 91709
46383 92172
46459 72006
46522 47360
46542 81114
46549 77185
46594 69010
46659 59449
46694 67177
46704 90925
46840 57502
46846 48899
46919 61588
46937 59560
46976 54188
47079 69063
47080 81286
47083 76024
47102 55038
47107 53708
47120 80053
47175 55723
47232 63561
47235 69012
47282 85137
47307 62067
47329 92831
47335 83171
47348 76407
47377 67114
47469 62148
47521 50382
47569 92518
47703 71412
47720 89379
47764 58043
47768 66047
47865 50756
47973 51817
47991 65151
48011 61990
48030 84145
48092 49542
48113 82450
48179 65121
48223 80510
48226 57353
48240 89173
48291 73784
48406 68404
48445 52488
48466 78234
48500 81296
48784 84060
48814 70661
48817 73152
48926 55719
49041 75688
49053 53074
49075 54658
49107 51217
49140 84997
49232 71918
49281 59632
49309 63254
49372 87463
49422 58065
49434 73735
49440 89668
49449 51619
49485 84953
49574 86658
49704 85794
49839 92280
49849 73402
49865 84695
49879 61636
49888 73764
49925 66000
49967 67966
49978 70049
50002 77304
50015 56850
50155 85138
50165 92220
50308 75725
50338 91740
50345 67789
50362 51258
50368 91699
50429 73944
50465 54437
50525 51205
50584 61676
50588 86514
50598 86453
50875 80754
50894 58627
51020 52816
51097 73678
51112 91286
51150 52973
51193 51762
51208 75671
51355 59009
51375 67959
51376 66822
51471 89918
51481 74284
51605 72001
51640 83074
51776 77980
51840 63715
51968 70125
52077 54608
52150 91453
52397 69515
52644 76440
52822 81774
52870 55841
52901 57432
52975 55326
53037 59526
53121 78576
53182 91161
53203 59525
53239 74079
53454 83819
53463 67186
53533 75440
53555 55392
53593 75301
53861 67204
53874 65720
53915 63320
53957 64394
54034 58390
54088 73711
54142 56531
54243 74875
54270 89852
54351 89760
54446 62950
54448 89566
54473 61982
54621 69356
54823 75750
54846 63035
54887 90847
54907 75877
54908 59833
55005 71837
55055 82276
55082 85537
55160 67639
